Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
2E-11;68.40;41.50;50.20;87.40;-2E-13;67.70;41.50;33.30;86.20;9E-11;68.5;27.6;40.7;87.5
2E-15;66.50;40.80;48.40;83.40;1E-15;65.70;40.80;32.50;82.20;-4E-13;66.5;27.4;39.5;83.5
0E+00;64.50;40.20;46.70;79.60;0E+00;63.80;40.20;31.70;78.40;2E-15;64.6;27.2;38.2;79.6
0E+00;62.70;39.60;45.10;75.90;0E+00;62.00;39.60;30.90;74.80;0E+00;62.8;27;37.1;76
0E+00;60.90;38.90;43.50;72.50;0E+00;60.30;38.90;30.20;71.50;0E+00;61;26.7;36;72.5
0E+00;59.30;38.30;42.00;69.30;0E+00;58.60;38.30;29.50;68.30;0E+00;59.3;26.5;35;69.3
8E-07;67.10;46.30;60.50;89.90;1E-06;69.40;46.30;36.50;89.80;1E-06;68.9;29.9;38.9;89.9
6E-07;69.80;49.30;57.00;90.00;9E-07;69.50;49.30;35.00;90.00;5E-07;69.1;31.1;36.4;89.4
6E-07;69.70;46.40;55.90;90.00;1E-06;69.50;46.40;33.80;90.00;2E-07;68.5;16;17.3;89.6
6E-07;69.80;45.40;53.40;90.00;3E-07;68.90;45.40;24.60;89.80;4E-07;68.4;23.2;26.9;89.8
4E-07;69.70;45.80;50.70;89.90;3E-07;69.10;45.80;36.80;89.80;4E-07;68.7;35.7;38.3;89.8
2E-07;68.80;39.40;43.30;89.70;2E-07;69.30;39.40;42.70;89.70;1E-07;69.4;43.1;43.2;89.7
1E-07;68.90;33.00;53.60;89.00;1E-07;69.80;33.00;36.30;89.20;2E-07;66.5;23.7;48.3;88.7
9E-08;68.40;31.40;53.60;88.50;8E-08;69.30;31.40;33.50;88.70;2E-10;66.6;23.3;47.3;87.6
1E-07;68.10;30.70;52.90;88.30;4E-12;68.20;30.70;32.80;87.00;2E-14;64.7;23.3;45.7;83.5
2E-07;68.40;24.00;28.90;89.60;1E-07;68.50;24.00;27.60;88.40;2E-07;68.3;22.8;26.2;89.1
3E-07;68.90;42.30;49.10;89.80;4E-07;68.90;42.30;31.50;89.80;4E-07;68.9;42.8;45.1;89.7
2E-07;69.40;42.80;49.10;89.70;3E-07;69.10;42.80;39.70;89.80;2E-07;69.1;43.3;44.8;89.6
3E-07;69.30;36.00;51.40;89.30;3E-07;68.70;36.00;39.00;89.50;3E-07;69;34.5;45.5;88.7
2E-07;68.80;37.90;50.40;88.90;4E-07;69.10;37.90;33.10;89.10;2E-07;68.2;26.2;42.1;87.2
4E-07;68.60;28.80;39.80;89.60;2E-07;68.90;28.80;33.20;88.70;3E-07;68.5;23.8;28.8;89.6
2E-07;69.20;47.60;51.90;89.70;4E-07;69.00;47.60;33.40;89.10;3E-07;69;48.1;49.5;89.7
2E-07;69.30;45.90;56.10;89.40;2E-07;68.80;45.90;33.70;88.90;2E-07;69.2;42.7;53.9;89.2
3E-07;68.90;39.20;51.60;89.10;3E-07;68.90;39.20;33.90;88.60;4E-07;68.5;26;44.4;88.4
-9E-14;67.80;41.70;49.70;86.10;3E-09;64.80;41.70;36.60;87.50;-5E-13;67.8;27.4;40.9;85.9
4E-16;65.80;41.00;47.90;82.20;-1E-13;63.00;41.00;35.50;83.40;2E-15;65.8;27.2;39.6;82
0E+00;63.90;40.40;46.20;78.40;1E-15;61.20;40.40;34.50;79.50;0E+00;63.9;27;38.4;78.2
0E+00;62.10;39.70;44.60;74.80;0E+00;59.50;39.70;33.60;75.90;0E+00;62.1;26.8;37.3;74.6
0E+00;60.40;39.10;43.10;71.50;0E+00;57.90;39.10;32.70;72.50;0E+00;60.4;26.5;36.2;71.3
0E+00;58.70;38.50;41.60;68.30;0E+00;56.30;38.50;31.80;69.20;0E+00;58.7;26.3;35.1;68.1
8E-07;67.00;46.90;61.80;89.90;1E-06;69.40;46.90;38.50;89.90;1E-06;68.8;30.2;39.8;89.9
6E-07;69.80;50.40;58.80;90.00;1E-06;69.50;50.40;36.70;90.00;7E-07;69.1;31.4;36.9;89.7
7E-07;69.80;47.60;57.90;90.00;1E-06;69.50;47.60;35.70;90.00;2E-07;68.5;15.8;17.1;89.7
6E-07;69.80;46.50;55.30;90.00;3E-07;68.90;46.50;29.40;89.80;4E-07;68.4;23;26.8;89.8
5E-07;69.80;45.80;52.90;90.00;4E-07;69.00;45.80;38.50;89.80;4E-07;68.7;35.8;39;89.8
2E-07;68.90;39.10;44.20;89.80;3E-07;69.10;39.10;34.70;89.30;4E-07;68.9;40.8;44;89.7
2E-07;69.10;37.40;54.30;89.30;2E-07;69.20;37.40;34.70;89.00;2E-07;68;30.4;41.3;89.3
